epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,20624.1,0.9189,1.13945,0.9935,0.60372,0.71315,0.7014,0.53675,0.86016,1.01157,1.03969,0.007954,0.007954,0.007954
64,20902.2,0.91106,1.12232,1.00186,0.58314,0.72444,0.69086,0.53003,0.86443,1.00595,1.04101,0.007921,0.007921,0.007921
65,21179.5,0.90471,1.12799,0.99506,0.5709,0.72999,0.68597,0.5244,0.85219,0.98894,1.03173,0.007888,0.007888,0.007888
66,21456.7,0.91289,1.1207,0.9943,0.59489,0.7115,0.69169,0.52951,0.85758,0.98422,1.03402,0.007855,0.007855,0.007855
67,21734.1,0.90907,1.12432,0.98653,0.59479,0.72442,0.69747,0.53462,0.85505,0.98494,1.03182,0.007822,0.007822,0.007822
68,22013.6,0.90608,1.13803,0.9875,0.6121,0.71205,0.70688,0.54061,0.85692,0.98163,1.0309,0.007789,0.007789,0.007789
69,22292.1,0.90908,1.09988,0.98863,0.60125,0.7027,0.69864,0.53422,0.85831,0.98297,1.03419,0.007756,0.007756,0.007756
70,22570,0.90473,1.12658,0.98831,0.59954,0.71234,0.69933,0.53188,0.86641,0.98397,1.03846,0.007723,0.007723,0.007723
71,22848.2,0.90938,1.12849,0.98847,0.59809,0.71378,0.70003,0.53301,0.86341,0.99403,1.03636,0.00769,0.00769,0.00769
72,23124.3,0.9066,1.13329,0.9866,0.60709,0.70796,0.70479,0.54054,0.85591,1.01079,1.02899,0.007657,0.007657,0.007657
73,23399.1,0.90085,1.1115,0.99127,0.61007,0.69362,0.69878,0.53717,0.86016,0.98424,1.03663,0.007624,0.007624,0.007624
74,23672.9,0.90526,1.12733,0.98872,0.60766,0.71222,0.70673,0.54214,0.85415,0.98212,1.02572,0.007591,0.007591,0.007591
75,23946.9,0.89814,1.08969,0.98259,0.62541,0.70806,0.70555,0.53925,0.85479,0.97377,1.0301,0.007558,0.007558,0.007558
76,24221.9,0.90591,1.10687,0.9863,0.60466,0.72442,0.69819,0.53439,0.85205,0.98606,1.03253,0.007525,0.007525,0.007525
77,24495.4,0.89993,1.09645,0.98909,0.6064,0.72772,0.71261,0.54592,0.8578,0.97859,1.03643,0.007492,0.007492,0.007492
78,24768.9,0.90002,1.10593,0.988,0.60963,0.72071,0.70868,0.54306,0.85042,0.99663,1.02823,0.007459,0.007459,0.007459
79,25044,0.90951,1.08842,0.98891,0.60399,0.70517,0.70512,0.54039,0.85107,0.98237,1.03324,0.007426,0.007426,0.007426
80,25319,0.90414,1.10414,0.99152,0.59884,0.74105,0.7045,0.54259,0.8522,0.95918,1.02704,0.007393,0.007393,0.007393
81,25591.5,0.90394,1.11227,0.98404,0.61444,0.72144,0.70732,0.54279,0.85193,0.96686,1.03166,0.00736,0.00736,0.00736
82,25864.2,0.89269,1.11348,0.98333,0.61104,0.7126,0.70452,0.53797,0.85711,0.98246,1.03336,0.007327,0.007327,0.007327
